ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard,dates
760,53,28,59,91950,2,1.9,2,0,0,0,0,1,0,2023-10-04 03:00:34
4374,30,6,139,94501,1,4.3,1,0,0,0,0,1,0,2023-05-11 18:19:54
781,32,7,42,92634,4,0.8,1,0,0,0,0,1,1,2023-10-29 10:08:49
2601,42,18,51,92868,3,2.1,3,0,0,0,0,0,0,2023-12-01 14:49:22
4336,36,10,82,94542,2,2.8,1,0,0,0,0,0,1,2023-06-27 22:03:59
478,64,39,24,95112,4,0.4,2,78,0,0,0,1,0,2023-03-21 13:16:19
3477,65,39,141,90280,2,6.9,1,0,0,1,0,1,0,2023-10-02 18:30:09
4975,59,33,64,92867,4,1.7,2,0,0,0,0,0,1,2023-08-25 04:56:40
1752,55,31,25,94720,2,0.2,1,0,0,0,0,0,0,2023-11-29 05:07:02
3364,58,34,54,93003,4,1.3,2,0,0,0,0,1,0,2023-12-20 16:27:46
2736,36,12,70,92131,3,2.6,2,165,0,0,0,1,0,2023-11-02 05:20:35
2872,65,39,82,94131,4,2.4,3,252,0,0,0,1,0,2023-02-09 06:50:04
3344,62,37,125,94801,1,1.0,3,0,1,0,0,1,0,2023-07-09 18:22:09
4434,62,38,44,92612,1,1.9,2,0,0,0,0,0,1,2023-07-12 19:15:26
753,64,39,22,90071,4,0.6,2,0,0,0,0,0,0,2023-04-27 02:57:30
3555,37,13,72,92407,4,2.0,3,0,0,1,0,0,0,2023-01-02 18:40:48
3746,27,3,119,90640,1,5.4,1,118,0,0,0,1,0,2023-02-03 22:09:24
1306,32,6,28,94025,2,0.3,2,88,0,0,0,1,0,2023-11-07 06:41:48
735,66,42,53,92182,2,1.1,1,0,0,0,0,1,1,2023-06-28 06:09:09
987,53,27,101,90245,4,4.9,1,0,0,0,0,1,0,2023-03-07 13:48:40
1831,38,13,119,94571,2,7.8,1,221,0,0,0,0,0,2023-01-01 07:21:54
2183,40,14,22,94566,2,1.4,3,0,0,0,0,0,0,2023-10-28 10:46:58
879,33,3,74,95616,4,4.0,3,0,0,0,0,0,0,2023-05-13 01:49:30
1986,31,7,31,94920,4,0.4,2,79,0,0,0,0,0,2023-02-08 00:17:16
2158,25,0,71,93727,4,0.2,1,78,0,1,0,0,0,2023-05-24 13:08:42
3944,61,36,188,91360,1,9.3,2,0,1,0,0,0,0,2023-01-16 20:20:38
4007,56,32,28,92130,1,1.2,3,0,0,0,0,1,0,2023-12-11 11:43:18
2689,56,30,34,94542,2,0.7,2,0,0,0,0,1,0,2023-11-09 19:14:23
1818,36,11,9,94604,4,0.2,3,0,0,0,0,0,1,2023-03-13 13:38:50
4349,59,33,99,92093,2,2.7,1,0,0,0,0,0,0,2023-01-22 21:52:23
1834,34,9,178,94303,1,0.8,3,0,1,0,0,0,0,2023-01-09 00:27:10
1384,65,41,105,95616,4,1.7,2,230,0,1,0,1,0,2023-05-12 19:33:12
4102,45,21,40,93460,3,0.6,2,0,0,0,0,1,1,2023-06-06 20:41:09
